Unnamed: 0,Tipo,Usuario,Comentario,Comentario_TOKEN,Comentario_LEMA,tokens_red
10,Rosado,Francesc G, buen rosado del priorat  no hay muchos y menos elaborados con cariñena  inusual totalmemte  color anaranjado con tonos rojizos  brillante  untuoso  fruta roja buena acidez  especiado  sotobosque  potente  vinoso  largo en boca  gastronómico  toda una sorpresa de esta pequeña bodega fe gratallops  ,"['buen', 'rosado', 'priorat', 'menos', 'elaborados', 'cariñena', 'inusual', 'totalmemte', 'color', 'anaranjado', 'tonos', 'rojizos', 'brillante', 'untuoso', 'fruta', 'roja', 'buena', 'acidez', 'especiado', 'sotobosque', 'potente', 'vinoso', 'largo', 'boca', 'gastronómico', 'toda', 'sorpresa', 'pequeña', 'bodega', 'fe', 'gratallops']","['rosado', 'menos', 'elaborado', 'cariñena', 'color', 'anaranjado', 'tono', 'rojizo', 'brillante', 'untuoso', 'fruta', 'rojo', 'acidez', 'especiado', 'sotobosque', 'potente', 'vinoso', 'largo', 'boca', 'gastronómico', 'sorpresa', 'pequeña', 'bodega', 'gratallops']","['rosado', 'menos', 'elaborado', 'cariñena', 'color', 'anaranjado', 'tono', 'rojizo', 'brillante', 'untuoso', 'fruta', 'rojo', 'acidez', 'especiado', 'sotobosque', 'potente', 'vinoso', 'largo', 'boca', 'gastronómico', 'sorpresa', 'pequeña', 'bodega', 'gratallops']"
11,Rosado,Francesc G,  cata nuevas añadas de castell d encús y ferrer bobet     presentación de nuevas añadas de los proyectos en costers del segre y priorat de raul bobet  muchas gracias ignasi  un placer como siempre  excelente la nueva añada del rosado  merlot con un poco de petit verdot  maceración en frío  fermentación en inox   meses  crianza de   meses en barricas de roble francés de  ° año del quest  muy grastronómico  producción de   botellas  ,"['cata', 'nuevas', 'añadas', 'castell', 'encús', 'ferrer', 'bobet', 'presentación', 'nuevas', 'añadas', 'proyectos', 'costers', 'segre', 'priorat', 'raul', 'bobet', 'muchas', 'gracias', 'ignasi', 'placer', 'siempre', 'excelente', 'nueva', 'añada', 'rosado', 'merlot', 'petit', 'verdot', 'maceración', 'frío', 'fermentación', 'inox', 'meses', 'crianza', 'meses', 'barricas', 'roble', 'francés', 'año', 'quest', 'grastronómico', 'producción', 'botellas']","['cata', 'nueva', 'añada', 'bobet', 'presentación', 'nueva', 'añada', 'proyecto', 'costa', 'segre', 'bobet', 'gracia', 'placer', 'excelente', 'nueva', 'añada', 'rosado', 'merlot', 'pequeña', 'verdot', 'maceración', 'frío', 'fermentación', 'inoxidable', 'crianza', 'barrica', 'roble', 'francés', 'año', 'producción', 'botella']","['cata', 'nueva', 'añada', 'bobet', 'presentación', 'nueva', 'añada', 'proyecto', 'costa', 'segre', 'bobet', 'gracia', 'placer', 'excelente', 'nueva', 'añada', 'rosado', 'merlot', 'pequeña', 'verdot', 'maceración', 'frío', 'fermentación', 'inoxidable', 'crianza', 'barrica', 'roble', 'francés', 'año', 'producción', 'botella']"
12,Rosado,Francesc G,   menu  festival  con maridaje en  el celler de can roca            nunca el nombre de un ágape ha sido más acertado que este auténtico festival de los sentidos en todas sus facetas  superlativo  inolvidable  inenarrable  y no apunto ningún adjetivo más porque los terminaría y aun no habría descrito acertadamente lo que vivimos ese día  platos y vinos en total sintonía  gracias a joan y jordi por la comida y en especial a pitu que estuvo con nosotros en numerosas ocasiones atendiéndonos personalmente  ,"['menu', 'festival', 'maridaje', 'celler', 'can', 'roca', 'nunca', 'nombre', 'ágape', 'sido', 'acertado', 'auténtico', 'festival', 'todas', 'facetas', 'superlativo', 'inolvidable', 'inenarrable', 'apunto', 'ningún', 'adjetivo', 'terminaría', 'aun', 'descrito', 'acertadamente', 'vivimos', 'día', 'platos', 'vinos', 'total', 'sintonía', 'gracias', 'joan', 'jordi', 'comida', 'especial', 'pitu', 'numerosas', 'ocasiones', 'atendiéndonos', 'personalmente']","['menú', 'festival', 'maridaje', 'bodega', 'roca', 'acertado', 'auténtico', 'festival', 'plato', 'total', 'gracia', 'comida', 'especial', 'ocasión', 'personalmente']","['menú', 'festival', 'maridaje', 'bodega', 'roca', 'acertado', 'auténtico', 'festival', 'plato', 'total', 'gracia', 'comida', 'especial', 'ocasión', 'personalmente']"
13,Rosado,Francesc G,  cena menú degustación en restaurant hisop  bcn      porque ya nos merecíamos in homenaje    interesantísima opción de rosado granadino    romé  uva autóctona escasa que se está recuperando  crianza de   meses en inox con sus lías  rosa pálidp asalmonado  aromátco  floral  cítricos amargos  piel de naranja   especiado  tiza  seco  fresco  amplio  maridado con espárragos blancos con bergamota y morro  ,"['cena', 'menú', 'degustación', 'restaurant', 'hisop', 'bcn', 'merecíamos', 'in', 'homenaje', 'interesantísima', 'opción', 'rosado', 'granadino', 'romé', 'uva', 'autóctona', 'escasa', 'recuperando', 'crianza', 'meses', 'inox', 'lías', 'rosa', 'pálidp', 'asalmonado', 'aromátco', 'floral', 'cítricos', 'amargos', 'piel', 'naranja', 'especiado', 'tiza', 'seco', 'fresco', 'amplio', 'maridado', 'espárragos', 'blancos', 'bergamota', 'morro']","['cena', 'menú', 'degustación', 'restaurante', 'barcelona', 'homenaje', 'opción', 'rosado', 'uva', 'autóctona', 'escasa', 'crianza', 'inoxidable', 'rosa', 'asalmonado', 'floral', 'cítrico', 'amargo', 'piel', 'naranja', 'especiado', 'tiza', 'seco', 'fresco', 'amplio', 'maridado', 'espárrago', 'blanca']","['cena', 'menú', 'degustación', 'restaurante', 'barcelona', 'homenaje', 'opción', 'rosado', 'uva', 'autóctona', 'escasa', 'crianza', 'inoxidable', 'rosa', 'asalmonado', 'floral', 'cítrico', 'amargo', 'piel', 'naranja', 'especiado', 'tiza', 'seco', 'fresco', 'amplio', 'maridado', 'espárrago', 'blanca']"
14,Rosado,Francesc G,  visita a castell d encús  talarn  pallars jussà      jornada de visita a esta emblemática bodega  do costers del segre  a los pies del pirineo de lleida  a   metros de altitud  nada se deja al azar  todo pensado en un lugar donde se unen tradición y modernidad  ver los cubos de piedra al aire libre  obra de los monjes del s  xii donde se realizan las fermentaciones  la ermita  lo que queda del castillo y por supuesto la bodega  y si además la visita y la cata final te la hace el mismo raul bobet ⏩⏩⏩ ,"['visita', 'castell', 'encús', 'talarn', 'pallars', 'jussà', 'jornada', 'visita', 'emblemática', 'bodega', 'do', 'costers', 'segre', 'pies', 'pirineo', 'lleida', 'metros', 'altitud', 'deja', 'azar', 'pensado', 'lugar', 'unen', 'tradición', 'modernidad', 'ver', 'cubos', 'piedra', 'aire', 'libre', 'obra', 'monjes', 'xii', 'realizan', 'fermentaciones', 'ermita', 'queda', 'castillo', 'supuesto', 'bodega', 'si', 'además', 'visita', 'cata', 'final', 'hace', 'mismo', 'raul', 'bobet', '⏩⏩⏩']","['visita', 'jornada', 'visita', 'bodega', 'costa', 'segre', 'pie', 'lleida', 'metro', 'altitud', 'lugar', 'tradición', 'modernidad', 'ver', 'piedra', 'aire', 'obra', 'ermita', 'supuesto', 'bodega', 'visita', 'cata', 'final', 'mismo', 'bobet']","['visita', 'jornada', 'visita', 'bodega', 'costa', 'segre', 'pie', 'lleida', 'metro', 'altitud', 'lugar', 'tradición', 'modernidad', 'ver', 'piedra', 'aire', 'obra', 'ermita', 'supuesto', 'bodega', 'visita', 'cata', 'final', 'mismo', 'bobet']"
15,Rosado,Francesc G,  la música del vi  casa llotja de mar  barcelona      evento con más de   bodegas de todo el mundo presentando sus vinos  imposible llegar a todo   poca descripción y mucha subjetividad del momento  ribera de duero diferente   más de mi estilo ,"['música', 'vi', 'casa', 'llotja', 'mar', 'barcelona', 'evento', 'bodegas', 'mundo', 'presentando', 'vinos', 'imposible', 'llegar', 'poca', 'descripción', 'mucha', 'subjetividad', 'momento', 'ribera', 'duero', 'diferente', 'estilo']","['música', 'ver', 'casa', 'lonja', 'mar', 'bodega', 'mundo', 'imposible', 'llegar', 'poca', 'momento', 'duero', 'diferente', 'estilo']","['música', 'ver', 'casa', 'lonja', 'mar', 'bodega', 'mundo', 'imposible', 'llegar', 'poca', 'momento', 'duero', 'diferente', 'estilo']"
16,Rosado,Francesc G,   cata de can ràfols dels caus  hotel arts barcelona      mira que lo hemos catado y tomado en varias ocasiones y añadas y nunca ha dejado de parecerme un gran rosado nada al uso  lejos de los provenzales o los que parecen chuches aunque tenga mucha fruta roja fresca     merlot elaborado mediante la técnica del sangrado  el mosto de flor escurrido  sin prensarlo  color rubí  vivo  muy brillante  intenso en boca  toque amargoso en boca  herbáceo  directo  dadle   año más en botella y será de   ,"['cata', 'can', 'ràfols', 'dels', 'caus', 'hotel', 'arts', 'barcelona', 'mira', 'catado', 'tomado', 'varias', 'ocasiones', 'añadas', 'nunca', 'dejado', 'parecerme', 'gran', 'rosado', 'uso', 'lejos', 'provenzales', 'parecen', 'chuches', 'aunque', 'mucha', 'fruta', 'roja', 'fresca', 'merlot', 'elaborado', 'mediante', 'técnica', 'sangrado', 'mosto', 'flor', 'escurrido', 'prensarlo', 'color', 'rubí', 'vivo', 'brillante', 'intenso', 'boca', 'toque', 'amargoso', 'boca', 'herbáceo', 'directo', 'dadle', 'año', 'botella']","['cata', 'hotel', 'mira', 'catado', 'tomar', 'ocasión', 'añada', 'rosado', 'lejos', 'parecer', 'golosina', 'fruta', 'rojo', 'fresco', 'merlot', 'elaborado', 'técnica', 'sangrado', 'mosto', 'flor', 'color', 'rubí', 'vivir', 'brillante', 'intenso', 'boca', 'toque', 'amargor', 'boca', 'herbáceo', 'directo', 'año', 'botella']","['cata', 'hotel', 'mira', 'catado', 'tomar', 'ocasión', 'añada', 'rosado', 'lejos', 'parecer', 'golosina', 'fruta', 'rojo', 'fresco', 'merlot', 'elaborado', 'técnica', 'sangrado', 'mosto', 'flor', 'color', 'rubí', 'vivir', 'brillante', 'intenso', 'boca', 'toque', 'amargor', 'boca', 'herbáceo', 'directo', 'año', 'botella']"
17,Rosado,Francesc G,   barcelona wine week     mucho vino  mucha bodega   descubriendo    conociendo    saludando    contactando    y sobretodo   catando   nueva bodega mallorquina  capital extranjero  abriéndose paso en el mercado con su  a añada  gracias por tus explicaciones y simpatía julianna  curiosamente la comercial se llama como la bodega  coincidencias     fotos prestadas de vivino   buen rosado a base de syrah       con cuerpo  gastronómico  sólo   botellas ,"['barcelona', 'wine', 'week', 'vino', 'mucha', 'bodega', 'descubriendo', 'conociendo', 'saludando', 'contactando', 'sobretodo', 'catando', 'nueva', 'bodega', 'mallorquina', 'capital', 'extranjero', 'abriéndose', 'paso', 'mercado', 'añada', 'gracias', 'explicaciones', 'simpatía', 'julianna', 'curiosamente', 'comercial', 'llama', 'bodega', 'coincidencias', 'fotos', 'prestadas', 'vivino', 'buen', 'rosado', 'base', 'syrah', 'cuerpo', 'gastronómico', 'sólo', 'botellas']","['bodega', 'catar', 'nueva', 'bodega', 'paso', 'mercado', 'añada', 'gracia', 'curioso', 'comercial', 'llamar', 'bodega', 'foto', 'rosado', 'base', 'syrah', 'cuerpo', 'gastronómico', 'botella']","['bodega', 'catar', 'nueva', 'bodega', 'paso', 'mercado', 'añada', 'gracia', 'curioso', 'comercial', 'llamar', 'bodega', 'foto', 'rosado', 'base', 'syrah', 'cuerpo', 'gastronómico', 'botella']"
18,Rosado,Francesc G,   barcelona wine week     mucho vino  mucha bodega   descubriendo    conociendo    saludando    contactando    y sobretodo   catando   nueva bodega mallorquina  capital extranjero  abriéndose paso en el mercado con su  a añada  cosas interesantes  gracias por tus explicaciones y simpatía julianna  curiosamente la comercial se llama como la bodega  coincidencias     fotos prestadas de vivino   rosado a base de manto negro  callet y cs  muy ligero  para mi el más  normalito  de la bodega    botellas  ,"['barcelona', 'wine', 'week', 'vino', 'mucha', 'bodega', 'descubriendo', 'conociendo', 'saludando', 'contactando', 'sobretodo', 'catando', 'nueva', 'bodega', 'mallorquina', 'capital', 'extranjero', 'abriéndose', 'paso', 'mercado', 'añada', 'cosas', 'interesantes', 'gracias', 'explicaciones', 'simpatía', 'julianna', 'curiosamente', 'comercial', 'llama', 'bodega', 'coincidencias', 'fotos', 'prestadas', 'vivino', 'rosado', 'base', 'manto', 'negro', 'callet', 'cs', 'ligero', 'normalito', 'bodega', 'botellas']","['bodega', 'catar', 'nueva', 'bodega', 'paso', 'mercado', 'añada', 'cosa', 'interesante', 'gracia', 'curioso', 'comercial', 'llamar', 'bodega', 'foto', 'rosado', 'base', 'manto', 'negro', 'callet', 'cs', 'ligero', 'normal', 'bodega', 'botella']","['bodega', 'catar', 'nueva', 'bodega', 'paso', 'mercado', 'añada', 'cosa', 'interesante', 'gracia', 'curioso', 'comercial', 'llamar', 'bodega', 'foto', 'rosado', 'base', 'manto', 'negro', 'callet', 'cs', 'ligero', 'normal', 'bodega', 'botella']"
19,Rosado,Francesc G,   barcelona wine week     mucho vino  mucha bodega   descubriendo    conociendo    saludando    contactando    y sobretodo   catando   interesantísima bodega gaditana  gracias alejandro    el rosado de la bodega     cabernet sauvignon  sin crianza  este ya lo conocíamos  me parece una gran opción veraniega  ,"['barcelona', 'wine', 'week', 'vino', 'mucha', 'bodega', 'descubriendo', 'conociendo', 'saludando', 'contactando', 'sobretodo', 'catando', 'interesantísima', 'bodega', 'gaditana', 'gracias', 'alejandro', 'rosado', 'bodega', 'cabernet', 'sauvignon', 'crianza', 'conocíamos', 'parece', 'gran', 'opción', 'veraniega']","['bodega', 'catar', 'bodega', 'gracia', 'rosado', 'bodega', 'cabernet', 'sauvignon', 'crianza', 'parecer', 'opción']","['bodega', 'catar', 'bodega', 'gracia', 'rosado', 'bodega', 'cabernet', 'sauvignon', 'crianza', 'parecer', 'opción']"
20,Rosado,Francesc G,   día del cliente en vinacoteca  oportunidad de catar vinos y poder comprarlos con suculentas rebajas  en todo caso  una buena ocasión para poder compartir un buen rato con una copa en la mano      el rosado de la cata  fácil  fresco  sin complicaciones ni demasiadas expectativas  cumplidor e ideal a copas  recuerda ligeramente a los rosados provenzales pero con más cuerpo  ,"['día', 'cliente', 'vinacoteca', 'oportunidad', 'catar', 'vinos', 'poder', 'comprarlos', 'suculentas', 'rebajas', 'caso', 'buena', 'ocasión', 'poder', 'compartir', 'buen', 'rato', 'copa', 'mano', 'rosado', 'cata', 'fácil', 'fresco', 'complicaciones', 'demasiadas', 'expectativas', 'cumplidor', 'ideal', 'copas', 'recuerda', 'ligeramente', 'rosados', 'provenzales', 'cuerpo']","['vinacoteca', 'oportunidad', 'catar', 'poder', 'caso', 'ocasión', 'poder', 'compartir', 'rato', 'copa', 'mano', 'rosado', 'cata', 'fácil', 'fresco', 'complicación', 'expectativa', 'cumplidor', 'ideal', 'copa', 'recordar', 'ligeramente', 'rosado', 'cuerpo']","['vinacoteca', 'oportunidad', 'catar', 'poder', 'caso', 'ocasión', 'poder', 'compartir', 'rato', 'copa', 'mano', 'rosado', 'cata', 'fácil', 'fresco', 'complicación', 'expectativa', 'cumplidor', 'ideal', 'copa', 'recordar', 'ligeramente', 'rosado', 'cuerpo']"
21,Rosado,Francesc G,   de boda en doñana     es lo que tiene que quien contrae matrimonio trabaje en el mundo del vino   impresionante despliegue   y no los probamos todos   rosado de vizcarra    garnacha de   años plantada a   m de altitud  sangrado y posterior fermentación en barrica durante   meses  rojo asalmonado brillante  fruta roja  floral  toque ligero especiado  con más botella mejorará  embotellado en magnum para la ocasión  no lo busquéis en magnum no lo encontraréis  sólo por eso gana        ,"['boda', 'doñana', 'contrae', 'matrimonio', 'trabaje', 'mundo', 'vino', 'impresionante', 'despliegue', 'probamos', 'rosado', 'vizcarra', 'garnacha', 'años', 'plantada', 'altitud', 'sangrado', 'posterior', 'fermentación', 'barrica', 'meses', 'rojo', 'asalmonado', 'brillante', 'fruta', 'roja', 'floral', 'toque', 'ligero', 'especiado', 'botella', 'mejorará', 'embotellado', 'magnum', 'ocasión', 'busquéis', 'magnum', 'encontraréis', 'sólo', 'gana']","['boda', 'matrimonio', 'mundo', 'impresionante', 'despliegue', 'probar', 'rosado', 'garnacha', 'año', 'plantada', 'altitud', 'sangrado', 'posterior', 'fermentación', 'barrica', 'rojo', 'asalmonado', 'brillante', 'fruta', 'rojo', 'floral', 'toque', 'ligero', 'especiado', 'botella', 'mejorar', 'embotellado', 'magnum', 'ocasión', 'magnum', 'ganar']","['boda', 'matrimonio', 'mundo', 'impresionante', 'despliegue', 'probar', 'rosado', 'garnacha', 'año', 'plantada', 'altitud', 'sangrado', 'posterior', 'fermentación', 'barrica', 'rojo', 'asalmonado', 'brillante', 'fruta', 'rojo', 'floral', 'toque', 'ligero', 'especiado', 'botella', 'mejorar', 'embotellado', 'magnum', 'ocasión', 'magnum', 'ganar']"
